who,test number,time (s),max lower bound,upper bound,n iteration
M,072,0.58335,611139.427,611436,545
T,073,0.2235,623412.5027,623429,211
M,073,0.15300,623396.992,623429,148
T,074,0.2067,584484.3733,584631,208
M,074,0.29801,584488.796,580096,320
T,075,0.1738,575171.0603,575283,176
M,075,0.24798,575167.145,575318,266
T,076,N/A,N/A,N/A,N/A
M,076,N/A,N/A,N/A,N/A
T,077,N/A,N/A,N/A,N/A
M,077,N/A,N/A,N/A,N/A
T,078,N/A,N/A,N/A,N/A
M,078,N/A,N/A,N/A,N/A
T,079,N/A,N/A,N/A,N/A
M,079,N/A,N/A,N/A,N/A
T,080,N/A,N/A,N/A,N/A
M,080,N/A,N/A,N/A,N/A
T,081,0.0908,686.7553,1400,98
M,081,1.64840,960.248,101,1000
T,082,0.1098,6.0000,317,101
M,082,0.18614,6.000,18,101
T,083,0.4679,1018.1175,1146,520
M,083,1.21993,1070.772,341,751
T,084,0.0018,136.0000,136,1
M,084,N/A,136.000,136,0
T,085,0.1043,76.0000,284,101
M,085,0.14726,76.000,0,101
T,086,0.3590,66312.6005,67909,321
M,086,0.64756,66405.727,63327,600
T,087,0.4117,83231.7808,84229,381
M,087,0.58975,83542.667,81685,582
T,088,0.4162,55012.4848,55548,386
M,088,0.66995,55093.902,54606,643
T,089,0.3871,54113.4122,54612,375
M,089,0.32003,54008.443,54288,328
T,090,0.3393,74013.7856,75232,302
M,090,0.67598,74314.113,72441,633
T,091,0.2886,248053.3046,248725,273
M,091,0.49732,248105.037,244243,488
T,092,0.2744,310624.9775,311022,253
M,092,0.87718,310678.131,306376,805
T,093,0.2732,326157.8800,326305,281
M,093,0.50042,326165.697,326258,540
T,094,0.2306,273477.9956,274600,225
M,094,0.56653,273502.034,274111,587
T,095,0.5621,316796.5535,316870,477
M,095,0.60124,316805.046,316870,536
T,096,0.1660,495277.5000,495516,153
M,096,0.51184,495316.024,495516,513
T,097,0.2983,636864.4228,636907,277
M,097,0.31088,636860.050,636909,307
T,098,0.2609,679985.6972,680090,234
M,098,0.46312,679965.534,674759,424
T,099,0.2235,622388.5705,622464,218
M,099,0.21438,622374.758,618202,220
T,100,0.2325,449382.4159,449589,230
M,100,0.42869,449390.013,449581,447
T,101,N/A,N/A,N/A,N/A
M,101,N/A,N/A,N/A,N/A
T,102,N/A,N/A,N/A,N/A
M,102,N/A,N/A,N/A,N/A
T,103,N/A,N/A,N/A,N/A
M,103,N/A,N/A,N/A,N/A
T,104,N/A,N/A,N/A,N/A
M,104,N/A,N/A,N/A,N/A
T,105,N/A,N/A,N/A,N/A
M,105,N/A,N/A,N/A,N/A
T,106,N/A,N/A,N/A,N/A
M,106,N/A,N/A,N/A,N/A
T,107,0.3484,34.2374,1198,338
M,107,0.19688,0.000,1193,101
T,108,N/A,N/A,N/A,N/A
M,108,N/A,N/A,N/A,N/A
T,109,0.0915,0.0000,232,101
M,109,0.16678,0.000,232,101
T,110,N/A,N/A,N/A,N/A
M,110,N/A,N/A,N/A,N/A
T,111,0.2394,158523.1915,159616,200
M,111,0.65108,158803.300,154543,594
T,112,0.2946,173796.2660,174729,267
M,112,0.69317,173852.297,173712,669
T,113,0.2585,89715.7169,91296,226
M,113,0.62528,90235.123,88447,587
T,114,0.3170,167971.9407,168535,266
M,114,0.65371,168010.473,166524,591
T,115,0.5262,69531.8871,70225,498
M,115,0.60538,69746.548,68751,612
T,116,0.2434,370319.0104,370619,217
M,116,0.66253,370358.462,370614,634
T,117,0.3029,324210.1182,324437,267
M,117,0.55838,324238.748,324455,519
T,118,0.2941,245871.1920,246293,240
M,118,1.46589,245953.712,246250,773
T,119,0.4598,293425.9520,293626,356
M,119,0.64065,293457.031,293571,630
T,120,0.2817,266855.1950,267341,254
M,120,0.49783,266894.155,267321,500
T,121,0.2215,470989.6226,471214,200
M,121,0.86876,471017.705,466617,772
T,122,0.2243,570351.6380,570517,196
M,122,0.50289,570350.721,565236,458
T,123,0.1765,396780.7880,397051,169
M,123,0.55175,396754.397,393081,548
T,124,0.2962,430927.1913,431115,257
M,124,0.57619,430952.331,431345,560
T,125,0.2249,560491.4321,560842,193
M,125,0.66124,560519.648,558045,587
